Internal ID Number,Name,Common Name,Type,Constellation,V,RAJ2000,DEJ2000
Gal_And_IC 5370,IC 5370,,Gal,Andromeda,15.0,0.0253,32.75
notype_And_IC 5371,IC 5371,,-,Andromeda,,0.0503,32.8166
notype_Cas_NGC 7801,NGC 7801,,-,Cassiopeia,,0.1004,50.6999
Gal_And_IC 5372,IC 5372,,Gal,Andromeda,15.0,0.1003,32.7833
Gal_And_IC 5373,IC 5373,,Gal,Andromeda,15.0,0.1003,32.7833
Gal_Psc_NGC 7802,NGC 7802,,Gal,Pisces,14.0,0.2753,6.2167
notype_Psc_IC 5374,IC 5374,,-,Pisces,,0.2753,4.5
Gal_Psc_IC 5375,IC 5375,,Gal,Pisces,14.0,0.2753,4.5167
notype_Psc_NGC 7804,NGC 7804,,-,Pisces,,0.3253,7.75
Gal_Peg_NGC 7803,NGC 7803,,Gal,Pegasus,14.0,0.3503,13.1
Gal_Peg_NGC 7805,NGC 7805,,Gal,Pegasus,14.0,0.3503,31.4333
Gal_And_IC 5376,IC 5376,,Gal,Andromeda,15.0,0.3503,34.5333
Gal_Peg_NGC 7806,NGC 7806,,Gal,Pegasus,14.0,0.3753,31.45
Gal_Peg_IC 1526,IC 1526,,Gal,Pegasus,15.0,0.4003,11.35
Gal_Peg_IC 5377,IC 5377,,Gal,Pegasus,16.0,0.5253,16.6
Gal_Psc_NGC 7809,NGC 7809,,Gal,Pisces,15.0,0.5503,2.9333
Gal_Peg_NGC 7810,NGC 7810,,Gal,Pegasus,14.0,0.6003,12.95
notype_Psc_IC 1527,IC 1527,,-,Pisces,,0.6003,4.1167
Gal_Psc_NGC 7811,NGC 7811,,Gal,Pisces,15.0,0.6253,3.3333
notype_Peg_IC 5378,IC 5378,,-,Pegasus,,0.6503,16.6166
notype_Peg_IC 5379,IC 5379,,-,Pegasus,,0.6753,16.5833
notype_Tuc_IC 5380,IC 5380,,-,Tucana,,0.6754,-66.1832
Gal_Scl_NGC 7812,NGC 7812,,Gal,Sculptor,,0.7253,-34.2499
Gal_Cet_NGC 7813,NGC 7813,,Gal,Cetus,15.0,0.8003,-11.9833
Gal_Peg_IC 5381,IC 5381,,Gal,Pegasus,,0.8003,15.9666
Gal_Peg_NGC 7814,NGC 7814,,Gal,Pegasus,10.5,0.8253,16.15
notype_Peg_NGC 7815,NGC 7815,,-,Pegasus,,0.8503,20.6833
notype_Tuc_IC 5382,IC 5382,,-,Tucana,,0.8504,-65.1832
Gal_Cet_NGC 7808,NGC 7808,,Gal,Cetus,14.0,0.8753,-10.75
Nb_Cep_NGC 7822,NGC 7822,,Nb,Cepheus,,0.9004,68.6166
Gal_Psc_NGC 7816,NGC 7816,,Gal,Pisces,14.0,0.9503,7.4667
notype_Peg_IC 5383,IC 5383,,-,Pegasus,,0.9503,16.0
Gal_Peg_NGC 7817,NGC 7817,,Gal,Pegasus,12.0,1.0003,20.75
Gal_Psc_NGC 7818,NGC 7818,,Gal,Pisces,15.0,1.0503,7.35
Gal_Cet_IC 5384,IC 5384,,Gal,Cetus,15.0,1.0503,-11.9666
Gal_Peg_NGC 7819,NGC 7819,,Gal,Pegasus,14.0,1.1003,31.4833
Gal_Psc_NGC 7820,NGC 7820,,Gal,Pisces,14.0,1.1503,5.1833
Gal_Tuc_NGC 7823,NGC 7823,,Gal,Tucana,,1.2004,-62.0666
notype_Psc_IC 1528,IC 1528,,-,Pisces,,1.2753,-3.1167
Gal_Psc_NGC 7824,NGC 7824,,Gal,Pisces,14.0,1.3003,6.9
Gal_Psc_NGC 7825,NGC 7825,,Gal,Pisces,15.0,1.3003,5.2
notype_Cet_NGC 7826,NGC 7826,,-,Cetus,,1.3003,-20.7333
notype_Cet_IC 1529,IC 1529,,-,Cetus,,1.3003,-11.5
Gal_Cet_NGC 7821,NGC 7821,,Gal,Cetus,14.0,1.3253,-16.4833
Gal_Psc_NGC 7827,NGC 7827,,Gal,Pisces,14.0,1.3753,5.2167
Str_Psc_NGC 7830,NGC 7830,,Str,Pisces,,1.5503,8.3667
Gal_Cet_NGC 7828,NGC 7828,,Gal,Cetus,,1.6003,-13.4
Gal_Cet_NGC 7829,NGC 7829,,Gal,Cetus,,1.6003,-13.4
notype_Psc_IC 5385,IC 5385,,-,Pisces,,1.6003,-0.0667
notype_Peg_NGC 7833,NGC 7833,,-,Pegasus,,1.6253,27.6333
notype_Psc_IC 5386,IC 5386,,-,Pisces,,1.6253,-3.7167
Gal_Psc_NGC 7832,NGC 7832,,Gal,Pisces,13.0,1.6503,-3.7
Gal_Psc_NGC 7834,NGC 7834,,Gal,Pisces,15.0,1.6753,8.35
Gal_Psc_NGC 7835,NGC 7835,,Gal,Pisces,15.0,1.7003,8.4167
Gal_Psc_NGC 7837,NGC 7837,,Gal,Pisces,16.0,1.7253,8.3333
Gal_Psc_NGC 7838,NGC 7838,,Gal,Pisces,15.0,1.7503,8.3333
Str_Peg_NGC 7839,NGC 7839,,Str,Pegasus,,1.7503,27.6333
Gal_Psc_NGC 7840,NGC 7840,,Gal,Pisces,,1.7753,8.55
Gal_Peg_NGC 1,NGC 1,,Gal,Pegasus,13.0,1.8253,27.7166
Gal_Peg_NGC 2,NGC 2,,Gal,Pegasus,15.0,1.8253,27.6833
Gal_Psc_NGC 3,NGC 3,,Gal,Pisces,14.0,1.8253,8.2833
Gal_And_NGC 7831,NGC 7831,,Gal,Andromeda,14.0,1.8253,32.5833
Gal_And_IC 1530,IC 1530,,Gal,Andromeda,,1.8253,32.6166
Gal_Psc_NGC 4,NGC 4,,Gal,Pisces,,1.8503,8.3667
Gal_And_NGC 5,NGC 5,,Gal,Andromeda,14.0,1.9503,35.35
Gal_And_NGC 7836,NGC 7836,,Gal,Andromeda,,2.0003,33.0666
notype_And_NGC 6,NGC 6,,-,Andromeda,,2.0753,32.5
Gal_Scl_NGC 7,NGC 7,,Gal,Sculptor,,2.1003,-29.9166
Str_Peg_IC    1,IC    1,,Str,Pegasus,,2.1003,27.7166
Gal_Scl_NGC 10,NGC 10,,Gal,Sculptor,,2.1503,-33.8666
Gal_And_NGC 11,NGC 11,,Gal,Andromeda,14.0,2.1753,37.4333
Gal_Psc_NGC 12,NGC 12,,Gal,Pisces,15.0,2.1753,4.6167
Str_Peg_NGC 8,NGC 8,,Str,Pegasus,,2.2003,23.8333
Gal_And_NGC 13,NGC 13,,Gal,Andromeda,14.0,2.2003,33.4333
Gal_Peg_NGC 14,NGC 14,,Gal,Pegasus,12.0,2.2003,15.8166
Gal_Peg_NGC 9,NGC 9,,Gal,Pegasus,15.0,2.2253,23.8166
Gal_Peg_NGC 15,NGC 15,,Gal,Pegasus,15.0,2.2753,21.6
Gal_Peg_NGC 16,NGC 16,,Gal,Pegasus,12.0,2.2753,27.7333
Str_Peg_NGC 18,NGC 18,,Str,Pegasus,,2.3503,27.7166
notype_And_NGC 19,NGC 19,,-,Andromeda,,2.3503,32.8333
Gal_And_NGC 20,NGC 20,,Gal,Andromeda,15.0,2.3753,33.3166
Gal_Scl_IC 1531,IC 1531,,Gal,Sculptor,,2.4003,-32.2833
Gal_Peg_NGC 22,NGC 22,,Gal,Pegasus,15.0,2.4503,27.8333
Gal_Peg_NGC 23,NGC 23,,Gal,Pegasus,12.0,2.4753,25.9166
Gal_Scl_NGC 24,NGC 24,,Gal,Sculptor,11.5,2.4753,-24.9666
Gal_Phe_NGC 25,NGC 25,,Gal,Phoenix,,2.4754,-57.0499
Gal_Tuc_IC 1532,IC 1532,,Gal,Tucana,,2.4754,-64.3666
Gal_Phe_NGC 28,NGC 28,,Gal,Phoenix,,2.5754,-57.0166
Gal_Peg_NGC 26,NGC 26,,Gal,Pegasus,14.0,2.6003,25.8333
Gal_And_NGC 27,NGC 27,,Gal,Andromeda,14.0,2.6253,29.0
Gal_Phe_NGC 31,NGC 31,,Gal,Phoenix,,2.6254,-56.9999
notype_Cet_IC 1533,IC 1533,,-,Cetus,,2.6503,-7.4166
Gal_And_NGC 21,NGC 21,,Gal,Andromeda,14.0,2.6753,32.9833
Gal_And_NGC 29,NGC 29,,Gal,Andromeda,14.0,2.7003,33.35
Str_Peg_NGC 30,NGC 30,,Str,Pegasus,,2.7003,21.95
Ast_Peg_NGC 32,NGC 32,,Ast,Pegasus,,2.7253,18.7833
Str_Psc_NGC 33,NGC 33,,Str,Pisces,,2.7253,3.6667
notype_Cet_NGC 17,NGC 17,,-,Cetus,,2.7503,-12.1
Gal_Cet_IC    2,IC    2,,Gal,Cetus,,2.7503,-12.8166
Gal_Cet_NGC 34,NGC 34,,Gal,Cetus,13.0,2.7753,-12.1
Gal_Cet_NGC 35,NGC 35,,Gal,Cetus,14.0,2.8003,-12.0
Gal_Phe_NGC 37,NGC 37,,Gal,Phoenix,,2.8254,-56.9666
Gal_Psc_NGC 36,NGC 36,,Gal,Pisces,15.0,2.8503,6.3833
Gal_Psc_NGC 38,NGC 38,,Gal,Pisces,13.0,2.9753,-5.6
Gal_Psc_IC    3,IC    3,,Gal,Pisces,,3.0253,-0.4167
Gal_And_NGC 39,NGC 39,,Gal,Andromeda,14.0,3.0753,31.05
Gal_Peg_NGC 41,NGC 41,,Gal,Pegasus,14.0,3.2003,22.0333
Gal_Peg_NGC 42,NGC 42,,Gal,Pegasus,15.0,3.2253,22.1
PN_Cep_NGC 40,NGC 40,,PN,Cepheus,11.0,3.2504,72.5332
Gal_And_NGC 43,NGC 43,,Gal,Andromeda,14.0,3.2503,30.9
notype_And_NGC 44,NGC 44,,-,Andromeda,,3.2753,31.2833
Gal_Peg_IC    4,IC    4,,Gal,Pegasus,,3.3503,17.4833
notype_And_IC 1534,IC 1534,,-,Andromeda,,3.4503,48.1499
Gal_And_NGC 48,NGC 48,,Gal,Andromeda,15.0,3.5003,48.2333
notype_And_IC 1535,IC 1535,,-,Andromeda,,3.5003,48.1499
Gal_Cet_NGC 45,NGC 45,,Gal,Cetus,10.4,3.5253,-23.1833
Str_Psc_NGC 46,NGC 46,,Str,Pisces,,3.5253,5.9833
Gal_And_IC 1536,IC 1536,,Gal,Andromeda,15.0,3.5503,48.1333
Gal_And_NGC 49,NGC 49,,Gal,Andromeda,15.0,3.5753,48.2333
Gal_Cet_NGC 47,NGC 47,,Gal,Cetus,13.0,3.6253,-7.1833
notype_Cet_NGC 58,NGC 58,,-,Cetus,,3.6253,-7.1666
Gal_And_NGC 51,NGC 51,,Gal,Andromeda,15.0,3.6503,48.2499
Gal_Peg_NGC 52,NGC 52,,Gal,Pegasus,14.0,3.6503,18.55
Gal_Cet_NGC 50,NGC 50,,Gal,Cetus,,3.6753,-7.3333
Gal_Tuc_NGC 53,NGC 53,,Gal,Tucana,,3.6754,-60.3332
Gal_Scl_NGC 55,NGC 55,,Gal,Sculptor,8.0,3.7253,-39.1833
Gal_Cet_NGC 54,NGC 54,,Gal,Cetus,14.0,3.7753,-7.1333
notype_Psc_NGC 56,NGC 56,,-,Pisces,,3.8503,12.4333
Gal_Psc_NGC 57,NGC 57,,Gal,Pisces,13.0,3.8503,17.3
Gal_Cet_NGC 59,NGC 59,,Gal,Cetus,13.0,3.8753,-21.45
Gal_Psc_NGC 60,NGC 60,,Gal,Pisces,15.0,4.0003,-0.3
notype_Phe_IC 1537,IC 1537,,-,Phoenix,,4.0003,-39.3166
Gal_Psc_NGC 61,NGC 61,,Gal,Pisces,15.0,4.1253,-6.2333
Gal_Cet_NGC 62,NGC 62,,Gal,Cetus,14.0,4.2753,-13.4666
Gal_Cet_IC    5,IC    5,,Gal,Cetus,14.0,4.3503,-9.55
Gal_Cet_NGC 64,NGC 64,,Gal,Cetus,14.0,4.3753,-6.85
Gal_Psc_NGC 63,NGC 63,,Gal,Pisces,13.0,4.4253,11.45
notype_And_IC 1538,IC 1538,,-,Andromeda,,4.5003,30.0666
Gal_And_NGC 67,NGC 67,,Gal,Andromeda,16.0,4.5503,30.0666
Gal_And_NGC 68,NGC 68,,Gal,Andromeda,13.0,4.5753,30.0666
Gal_And_NGC 69,NGC 69,,Gal,Andromeda,14.8,4.5753,30.0333
Gal_And_NGC 70,NGC 70,,Gal,Andromeda,15.0,4.6003,30.0833
Gal_And_NGC 71,NGC 71,,Gal,Andromeda,13.0,4.6003,30.0666
notype_And_IC 1539,IC 1539,,-,Andromeda,,4.6003,30.1
Gal_And_NGC 72,NGC 72,,Gal,Andromeda,13.4,4.6253,30.0333
Gal_Cet_NGC 73,NGC 73,,Gal,Cetus,13.0,4.7003,-15.35
Gal_And_NGC 74,NGC 74,,Gal,Andromeda,16.0,4.7253,30.05
Gal_Psc_IC    6,IC    6,,Gal,Pisces,14.0,4.7503,-3.2667
Gal_Cet_NGC 65,NGC 65,,Gal,Cetus,15.0,4.7753,-22.9
notype_Psc_IC    7,IC    7,,-,Pisces,,4.7753,10.55
Gal_Psc_IC    8,IC    8,,Gal,Pisces,15.0,4.7753,-3.2167
Gal_Cet_NGC 66,NGC 66,,Gal,Cetus,14.0,4.8003,-22.95
Gal_Psc_NGC 75,NGC 75,,Gal,Pisces,15.0,4.8753,6.4167
Gal_And_NGC 76,NGC 76,,Gal,Andromeda,14.0,4.9003,29.9333
Gal_Cet_IC    9,IC    9,,Gal,Cetus,15.0,4.9253,-14.1166
notype_And_IC 1540,IC 1540,,-,Andromeda,,4.9503,23.7166
notype_Cet_NGC 77,NGC 77,,-,Cetus,,5.0003,-22.5166
Gal_And_IC 1541,IC 1541,,Gal,Andromeda,15.0,5.0003,22.0166
Gal_Psc_IC   12,IC   12,,Gal,Pisces,16.0,5.0753,-2.65
Gal_Psc_NGC 78,NGC 78,,Gal,Pisces,14.0,5.1003,0.8167
Gal_Cas_IC   10,IC   10,,Gal,Cassiopeia,10.3,5.1003,59.2999
Gal_Psc_IC   13,IC   13,,Gal,Pisces,15.0,5.1003,7.7
notype_Cas_IC   11,IC   11,,-,Cassiopeia,,5.1253,56.5999
Gal_And_IC 1542,IC 1542,,Gal,Andromeda,15.0,5.1503,22.6166
Gal_And_IC 1543,IC 1543,,Gal,Andromeda,14.0,5.2253,21.8833
Gal_And_NGC 79,NGC 79,,Gal,Andromeda,15.0,5.2503,22.5666
Gal_And_NGC 80,NGC 80,,Gal,Andromeda,12.1,5.3003,22.35
Gal_And_NGC 81,NGC 81,,Gal,Andromeda,,5.3003,22.3666
Gal_Phe_NGC 87,NGC 87,,Gal,Phoenix,,5.3003,-48.6333
Gal_Phe_NGC 88,NGC 88,,Gal,Phoenix,,5.3253,-48.6499
Gal_Phe_NGC 89,NGC 89,,Gal,Phoenix,,5.3253,-48.6833
notype_And_IC 1544,IC 1544,,-,Andromeda,,5.3253,23.0333
notype_And_IC 1545,IC 1545,,-,Andromeda,,5.3253,21.9833
Gal_And_NGC 82,NGC 82,,Gal,Andromeda,14.0,5.3503,22.4333
Gal_And_NGC 83,NGC 83,,Gal,Andromeda,12.6,5.3503,22.4333
Gal_And_NGC 85,NGC 85,,Gal,Andromeda,15.0,5.3503,22.5
Gal_And_NGC 84,NGC 84,,Gal,Andromeda,17.0,5.3753,22.6
Gal_And_NGC 86,NGC 86,,Gal,Andromeda,15.0,5.3753,22.55
Gal_Phe_NGC 92,NGC 92,,Gal,Phoenix,,5.3753,-48.6333
notype_And_IC 1546,IC 1546,,-,Andromeda,,5.3753,22.5
notype_And_IC 1547,IC 1547,,-,Andromeda,,5.4003,22.5166
Gal_And_NGC 91,NGC 91,,Gal,Andromeda,15.0,5.4503,22.4166
Str_And_NGC 90,NGC 90,,Str,Andromeda,,5.4753,22.4166
Gal_And_IC 1548,IC 1548,,Gal,Andromeda,16.0,5.4753,22.0166
Gal_And_NGC 93,NGC 93,,Gal,Andromeda,14.0,5.5003,22.4166
Gal_And_NGC 94,NGC 94,,Gal,Andromeda,15.0,5.5503,22.4666
Gal_Psc_NGC 95,NGC 95,,Gal,Pisces,12.6,5.5503,10.5
Gal_And_NGC 96,NGC 96,,Gal,Andromeda,17.0,5.5753,22.55
Gal_And_NGC 97,NGC 97,,Gal,Andromeda,13.0,5.6003,29.7333
notype_Psc_IC   14,IC   14,,-,Pisces,,5.6503,10.4833
Gal_Phe_NGC 98,NGC 98,,Gal,Phoenix,,5.7003,-45.2666
notype_Psc_IC 1549,IC 1549,,-,Pisces,,5.8003,6.9833
Gal_Scl_NGC 101,NGC 101,,Gal,Sculptor,13.0,5.9753,-32.5666
Gal_Psc_NGC 99,NGC 99,,Gal,Pisces,14.0,6.0003,15.7833
Gal_Psc_NGC 100,NGC 100,,Gal,Pisces,,6.0003,16.4833
GlC_Tuc_NGC 104,NGC 104,47 Tuc,GlC,Tucana,4.0,6.0254,-72.0832
Gal_Cet_NGC 102,NGC 102,,Gal,Cetus,14.0,6.1003,-13.95
Gal_And_IC 1550,IC 1550,,Gal,Andromeda,15.0,6.1003,38.1999
Gal_Psc_NGC 106,NGC 106,,Gal,Pisces,,6.1753,-5.1666
OpC_Cas_NGC 103,NGC 103,,OpC,Cassiopeia,9.8,6.3253,61.3499
Gal_Psc_NGC 105,NGC 105,,Gal,Pisces,13.2,6.3253,12.8833
Gal_Cet_NGC 107,NGC 107,,Gal,Cetus,,6.4003,-8.2833
Gal_And_NGC 108,NGC 108,,Gal,Andromeda,13.0,6.4753,29.2166
Gal_And_NGC 109,NGC 109,,Gal,Andromeda,15.0,6.5503,21.8166
notype_Cet_NGC 111,NGC 111,,-,Cetus,,6.6753,-2.6333
Gal_And_NGC 112,NGC 112,,Gal,Andromeda,14.0,6.6753,31.7166
Gal_Scl_NGC 115,NGC 115,,Gal,Sculptor,,6.7003,-33.6833
GlC_Tuc_NGC 121,NGC 121,,GlC,Tucana,10.6,6.7004,-71.5332
Gal_Cet_NGC 113,NGC 113,,Gal,Cetus,13.0,6.7503,-2.5
Gal_Cet_NGC 114,NGC 114,,Gal,Cetus,15.0,6.7753,-1.7833
Gal_Phe_NGC 119,NGC 119,,Gal,Phoenix,,6.7753,-56.9832
Gal_Cet_NGC 116,NGC 116,,Gal,Cetus,14.0,6.8003,-7.7
Gal_Cet_NGC 117,NGC 117,,Gal,Cetus,15.0,6.8003,1.3167
Gal_Cet_NGC 118,NGC 118,,Gal,Cetus,15.0,6.8253,-1.7833
OpC_Cas_NGC 110,NGC 110,,OpC,Cassiopeia,,6.8504,71.3832
Gal_Cet_NGC 120,NGC 120,,Gal,Cetus,15.0,6.8753,-1.5167
Gal_Psc_IC 1551,IC 1551,,Gal,Pisces,15.0,6.9003,8.8833
notype_Cet_NGC 122,NGC 122,,-,Cetus,,6.9253,-1.6333
notype_Cet_NGC 123,NGC 123,,-,Cetus,,6.9503,-1.6
Gal_Cet_NGC 124,NGC 124,,Gal,Cetus,14.0,6.9753,-1.8167
Gal_Cet_IC   16,IC   16,,Gal,Cetus,15.0,6.9753,-13.0833
notype_Cet_IC   15,IC   15,,-,Cetus,,7.0003,-0.0667
Gal_Cet_IC   17,IC   17,,Gal,Cetus,15.0,7.1253,2.65
Gal_Cet_IC   20,IC   20,,Gal,Cetus,14.0,7.1253,-13.0
Gal_Cet_IC   18,IC   18,,Gal,Cetus,15.0,7.1503,-11.5666
Gal_Cet_IC   19,IC   19,,Gal,Cetus,15.0,7.1753,-11.6333
Gal_Psc_NGC 125,NGC 125,,Gal,Pisces,12.3,7.2003,2.8333
Gal_Psc_NGC 126,NGC 126,,Gal,Pisces,16.0,7.2753,2.8167
Gal_Psc_NGC 127,NGC 127,,Gal,Pisces,14.0,7.3003,2.8667
Gal_Psc_NGC 128,NGC 128,,Gal,Pisces,11.6,7.3003,2.85
Gal_Cet_IC   21,IC   21,,Gal,Cetus,14.0,7.3003,-0.1667
Gal_Psc_NGC 130,NGC 130,,Gal,Pisces,14.3,7.3253,2.8667
Gal_Scl_NGC 131,NGC 131,,Gal,Sculptor,,7.4003,-33.2666
Gal_Cet_IC   22,IC   22,,Gal,Cetus,15.0,7.4003,-9.05
Gal_Psc_IC 1552,IC 1552,,Gal,Pisces,15.0,7.4003,21.4833
OpC_Cas_NGC 129,NGC 129,,OpC,Cassiopeia,6.5,7.4753,60.2333
Gal_Cet_NGC 132,NGC 132,,Gal,Cetus,14.0,7.5503,2.1
Gal_Scl_NGC 134,NGC 134,,Gal,Sculptor,10.1,7.6003,-33.2499
notype_Cet_IC   23,IC   23,,-,Cetus,,7.7253,-12.7333
Gal_Psc_NGC 138,NGC 138,,Gal,Pisces,15.0,7.7503,5.1667
Gal_Psc_NGC 139,NGC 139,,Gal,Pisces,15.0,7.7503,5.0833
Gal_Psc_NGC 137,NGC 137,,Gal,Pisces,14.0,7.7753,10.1833
OpC_Cas_NGC 133,NGC 133,,OpC,Cassiopeia,9.0,7.8003,63.3666
OpC_And_IC   24,IC   24,,OpC,Andromeda,,7.8003,30.85
Gal_Cet_IC   25,IC   25,,Gal,Cetus,15.0,7.8003,-0.4
Gal_And_NGC 140,NGC 140,,Gal,Andromeda,14.0,7.8253,30.7833
Gal_Cet_NGC 142,NGC 142,,Gal,Cetus,14.0,7.8253,-22.6166
Gal_Psc_NGC 141,NGC 141,,Gal,Pisces,15.0,7.8503,5.1833
Gal_Cet_NGC 143,NGC 143,,Gal,Cetus,15.0,7.8503,-22.5666
Gal_Cet_NGC 144,NGC 144,,Gal,Cetus,14.0,7.8503,-22.65
OpC_Cas_NGC 136,NGC 136,,OpC,Cassiopeia,,7.8753,61.5333
Gal_Cet_NGC 145,NGC 145,,Gal,Cetus,12.8,7.9253,-5.15
notype_Cet_NGC 135,NGC 135,,-,Cetus,,7.9503,-13.3666
notype_Cet_IC   26,IC   26,,-,Cetus,,7.9503,-13.3333
Gal_Scl_IC 1553,IC 1553,,Gal,Sculptor,14.0,8.1753,-25.5833
GlC_Tuc_NGC 152,NGC 152,,GlC,Tucana,12.0,8.2003,-73.1499
OpC_Cas_NGC 146,NGC 146,,OpC,Cassiopeia,9.1,8.2753,63.2999
notype_Cet_IC   27,IC   27,,-,Cetus,,8.2753,-13.3666
notype_Cet_IC   28,IC   28,,-,Cetus,,8.2753,-13.45
Gal_Scl_IC 1554,IC 1554,,Gal,Sculptor,,8.2753,-32.2666
Gal_Cas_NGC 147,NGC 147,,Gal,Cassiopeia,9.3,8.3003,48.4999
Gal_And_NGC 149,NGC 149,,Gal,Andromeda,15.0,8.4253,30.7166
Gal_Cet_NGC 151,NGC 151,,Gal,Cetus,11.5,8.5003,-9.7
notype_Cet_NGC 153,NGC 153,,-,Cetus,,8.5003,-9.7
Gal_Cet_NGC 154,NGC 154,,Gal,Cetus,14.0,8.5253,-12.65
Gal_Cet_IC   29,IC   29,,Gal,Cetus,15.0,8.5503,-2.1833
Gal_Scl_NGC 148,NGC 148,,Gal,Sculptor,12.1,8.5753,-31.7833
Gal_Scl_NGC 150,NGC 150,,Gal,Sculptor,11.1,8.5753,-27.7999
Gal_Cet_IC   30,IC   30,,Gal,Cetus,15.0,8.5753,-2.0833
Gal_Psc_IC   31,IC   31,,Gal,Pisces,15.0,8.6003,12.2833
Str_Cet_NGC 156,NGC 156,,Str,Cetus,,8.6503,-8.35
Gal_Phe_NGC 159,NGC 159,,Gal,Phoenix,,8.6503,-55.7833
Gal_Scl_IC 1555,IC 1555,,Gal,Sculptor,,8.6503,-30.0166
Gal_Cet_NGC 155,NGC 155,,Gal,Cetus,13.0,8.6753,-10.7666
Gal_Cet_NGC 157,NGC 157,,Gal,Cetus,10.4,8.7003,-8.4
D*?_Cet_NGC 158,NGC 158,,D*?,Cetus,,8.7253,-8.3166
Gal_Cet_IC   32,IC   32,,Gal,Cetus,15.0,8.7503,-2.1333
Gal_Cet_IC   33,IC   33,,Gal,Cetus,15.0,8.7753,-2.1333
notype_Cet_IC 1556,IC 1556,,-,Cetus,,8.7753,-9.5666
Gal_Cet_NGC 167,NGC 167,,Gal,Cetus,13.0,8.8253,-23.3666
Gal_Cet_NGC 161,NGC 161,,Gal,Cetus,15.0,8.8753,-2.8333
Gal_Cet_IC 1557,IC 1557,,Gal,Cetus,16.0,8.8753,-2.85
Gal_Psc_IC   34,IC   34,,Gal,Pisces,14.0,8.9003,9.1333
Gal_Cet_NGC 166,NGC 166,,Gal,Cetus,15.0,8.9503,-13.6166
OpC_Tuc_NGC 176,NGC 176,,OpC,Tucana,12.0,8.9503,-73.1832
Gal_Scl_IC 1558,IC 1558,,Gal,Sculptor,,8.9503,-25.3666
Gal_Cet_NGC 163,NGC 163,,Gal,Cetus,12.8,9.0003,-10.1166
Gal_And_NGC 160,NGC 160,,Gal,Andromeda,12.4,9.0253,23.95
Gal_And_NGC 162,NGC 162,,Gal,Andromeda,,9.0253,23.9666
Gal_Psc_NGC 164,NGC 164,,Gal,Pisces,16.0,9.1253,2.75
Gal_Cet_NGC 165,NGC 165,,Gal,Cetus,13.2,9.1253,-10.1
Gal_Cet_NGC 168,NGC 168,,Gal,Cetus,14.0,9.1753,-22.6
Gal_Cet_NGC 170,NGC 170,,Gal,Cetus,15.0,9.1753,1.85
Gal_And_NGC 169,NGC 169,,Gal,Andromeda,13.0,9.2253,23.9833
Gal_Scl_NGC 174,NGC 174,,Gal,Sculptor,14.0,9.2253,-29.4833
Gal_And_IC 1559,IC 1559,,Gal,Andromeda,,9.2253,23.9833
Gal_Cet_NGC 173,NGC 173,,Gal,Cetus,15.0,9.3003,1.9333
Gal_Cet_NGC 172,NGC 172,,Gal,Cetus,,9.3253,-22.6
notype_Cet_NGC 171,NGC 171,,-,Cetus,,9.3503,-19.9333
Gal_Cet_NGC 175,NGC 175,,Gal,Cetus,12.1,9.3503,-19.9333
Gal_Cet_NGC 177,NGC 177,,Gal,Cetus,13.0,9.3753,-22.5666
Gal_Psc_IC   35,IC   35,,Gal,Pisces,15.0,9.4253,10.35
notype_Cet_IC 1560,IC 1560,,-,Cetus,,9.4253,2.6667
Gal_Cet_NGC 179,NGC 179,,Gal,Cetus,14.0,9.4503,-17.8833
notype_Cet_IC   36,IC   36,,-,Cetus,,9.4503,-15.4333
Gal_Psc_NGC 180,NGC 180,,Gal,Pisces,14.0,9.5003,8.6333
Gal_And_NGC 181,NGC 181,,Gal,Andromeda,15.0,9.5503,29.4666
Gal_Psc_NGC 182,NGC 182,,Gal,Pisces,12.6,9.5503,2.7333
Gal_And_NGC 183,NGC 183,,Gal,Andromeda,14.0,9.5753,29.5
Gal_And_NGC 184,NGC 184,,Gal,Andromeda,15.0,9.6253,29.4333
Gal_Psc_NGC 186,NGC 186,,Gal,Pisces,15.0,9.6253,3.15
Gal_Cet_IC   37,IC   37,,Gal,Cetus,15.0,9.6253,-15.3833
Gal_Cet_IC 1561,IC 1561,,Gal,Cetus,14.0,9.6253,-24.3333
Gal_Cet_IC   38,IC   38,,Gal,Cetus,14.0,9.6503,-15.4333
Gal_Cet_IC 1562,IC 1562,,Gal,Cetus,,9.6503,-24.2833
Gal_Psc_NGC 190,NGC 190,,Gal,Pisces,14.0,9.7253,7.0333
Gal_Cas_NGC 185,NGC 185,,Gal,Cassiopeia,9.2,9.7503,48.3333
Gal_Cet_NGC 191,NGC 191,,Gal,Cetus,12.0,9.7503,-9.0
Gal_Cet_IC 1563,IC 1563,,Gal,Cetus,,9.7503,-9.0166
Gal_Cet_NGC 178,NGC 178,,Gal,Cetus,12.6,9.7753,-14.1666
Gal_Cet_NGC 209,NGC 209,,Gal,Cetus,14.0,9.7753,-18.6333
notype_Cet_IC   39,IC   39,,-,Cetus,,9.7753,-14.1666
notype_Psc_IC 1564,IC 1564,,-,Pisces,,9.8003,5.9667
Gal_Cet_NGC 192,NGC 192,,Gal,Cetus,14.0,9.8253,0.85
Gal_Psc_NGC 193,NGC 193,,Gal,Pisces,12.3,9.8253,3.3333
Gal_Psc_NGC 194,NGC 194,,Gal,Pisces,12.1,9.8253,3.0333
Gal_Cet_NGC 196,NGC 196,,Gal,Cetus,14.0,9.8253,0.9
