RAJ2000,DEJ2000,Constellation
2.611394,25.6957588,Pegasus
2.611867,26.6957569,Pegasus
2.612351,27.6957588,Pegasus
2.612842,28.6957588,Andromeda
1.606216,28.6960354,Pegasus
1.606440,29.6960354,Pegasus
1.606666,30.6960354,Pegasus
1.606899,31.6960335,Pegasus
1.606977,32.0293655,Andromeda
1.606977,32.0293655,Andromeda
1.606987,32.0293655,Andromeda
0.599412,32.0294266,Andromeda
359.591961,32.0292778,Andromeda
358.584394,32.0289154,Andromeda
357.828741,32.0285034,Pegasus
357.828082,32.7785072,Andromeda
356.820316,32.7777710,Andromeda
355.812693,32.7768211,Andromeda
354.804954,32.7756577,Andromeda
354.049158,32.7746468,Pegasus
354.047127,33.7746429,Pegasus
354.045067,34.7746429,Pegasus
354.044179,35.1913109,Andromeda
146.675076,-24.5768433,Hydra
145.670671,-24.5699406,Hydra
144.666180,-24.5628624,Hydra
143.661747,-24.5556126,Hydra
142.657529,-24.5481949,Hydra
141.904335,-24.5425186,Hydra
141.895080,-25.5424843,Antlia
141.885667,-26.5424480,Antlia
141.876096,-27.5424118,Antlia
141.866340,-28.5423756,Antlia
141.856398,-29.5423374,Antlia
141.846256,-30.5422993,Antlia
141.835914,-31.5422573,Antlia
141.825342,-32.5422173,Antlia
141.814527,-33.5421791,Antlia
141.803469,-34.5421333,Antlia
141.792139,-35.5420914,Antlia
141.780525,-36.5420494,Antlia
141.771599,-37.2920151,Antlia
141.759438,-38.2919693,Antlia
141.746936,-39.2919197,Antlia
141.734061,-40.2918739,Antlia
142.741942,-40.2994461,Antlia
143.750096,-40.3068504,Antlia
144.758349,-40.3140831,Antlia
145.766559,-40.3211441,Antlia
146.775027,-40.3280334,Antlia
147.783609,-40.3347435,Antlia
148.792134,-40.3412704,Antlia
149.800916,-40.3476181,Antlia
150.809784,-40.3537865,Antlia
151.818596,-40.3597641,Antlia
152.827649,-40.3655586,Antlia
153.836789,-40.3711624,Antlia
154.845858,-40.3765755,Antlia
155.855169,-40.3817940,Antlia
156.864552,-40.3868217,Antlia
157.873849,-40.3916512,Antlia
158.883390,-40.3962860,Antlia
159.892987,-40.4007225,Antlia
160.902499,-40.4049568,Antlia
161.912256,-40.4089928,Antlia
162.922039,-40.4128227,Antlia
163.931737,-40.4164505,Antlia
164.941635,-40.4198723,Antlia
165.951591,-40.4230919,Antlia
166.456504,-40.4246216,Centaurus
166.461569,-39.4246292,Centaurus
166.466504,-38.4246368,Centaurus
166.471281,-37.4246445,Centaurus
166.475944,-36.4246483,Centaurus
166.479363,-35.6746559,Hydra
165.470967,-35.6715469,Hydra
164.462757,-35.6682320,Hydra
163.958516,-35.6664963,Hydra
163.963737,-34.6665039,Hydra
163.968844,-33.6665154,Hydra
163.973823,-32.6665230,Hydra
163.977885,-31.8332005,Hydra
162.970863,-31.8295822,Hydra
161.963739,-31.8257599,Hydra
160.956630,-31.8217373,Hydra
160.201379,-31.8185863,Hydra
160.207200,-30.8186016,Hydra
160.212894,-29.8186131,Hydra
159.206571,-29.8142414,Hydra
158.200149,-29.8096714,Hydra
157.193771,-29.8049030,Hydra
156.187591,-29.7999420,Hydra
155.181327,-29.7947845,Hydra
155.188194,-28.7948036,Hydra
155.194917,-27.7948189,Hydra
155.199337,-27.1281624,Hydra
154.193774,-27.1228161,Hydra
153.188411,-27.1172810,Hydra
152.182946,-27.1115551,Hydra
151.177526,-27.1056423,Hydra
150.172334,-27.0995464,Hydra
149.167027,-27.0932636,Hydra
148.161794,-27.0868015,Hydra
147.659283,-27.0835037,Hydra
147.667536,-26.0835304,Hydra
147.675661,-25.0835571,Hydra
147.679681,-24.5835705,Hydra
207.873487,-76.6233521,Chamaleon
207.980103,-77.6230698,Chamaleon
208.105159,-78.6227417,Chamaleon
208.253946,-79.6223450,Chamaleon
208.434076,-80.6218643,Chamaleon
208.656764,-81.6212769,Chamaleon
208.939275,-82.6205292,Chamaleon
209.111109,-83.1200714,Chamaleon
210.199084,-83.1142120,Apus
211.286202,-83.1081467,Apus
212.372261,-83.1018829,Apus
213.457102,-83.0954285,Apus
214.540987,-83.0887756,Apus
215.623741,-83.0819321,Apus
216.705165,-83.0749054,Apus
217.785573,-83.0676880,Apus
218.864751,-83.0602875,Apus
219.942526,-83.0527039,Apus
221.019216,-83.0449448,Apus
222.094589,-83.0370178,Apus
223.168473,-83.0289154,Apus
224.241199,-83.0206451,Apus
225.312552,-83.0122070,Apus
226.382346,-83.0036087,Apus
227.450910,-82.9948502,Apus
228.518043,-82.9859390,Apus
229.583574,-82.9768753,Apus
230.647788,-82.9676666,Apus
231.710529,-82.9583054,Apus
232.771611,-82.9488068,Apus
233.831362,-82.9391708,Apus
234.889556,-82.9293976,Apus
235.946044,-82.9194946,Apus
237.001147,-82.9094543,Apus
238.054662,-82.8992996,Apus
239.106431,-82.8890228,Apus
240.156813,-82.8786240,Apus
241.205549,-82.8681183,Apus
242.252484,-82.8574982,Apus
243.297987,-82.8467789,Apus
244.341859,-82.8359528,Apus
245.383931,-82.8250275,Apus
246.424514,-82.8140030,Apus
247.463407,-82.8028946,Apus
248.500500,-82.7916946,Apus
249.536104,-82.7804184,Apus
250.570020,-82.7690506,Apus
251.602134,-82.7576141,Apus
252.632704,-82.7461090,Apus
253.661613,-82.7345276,Apus
254.688691,-82.7228928,Apus
255.714226,-82.7111893,Apus
256.738099,-82.6994324,Apus
257.760086,-82.6876221,Apus
258.780585,-82.6757584,Apus
259.799422,-82.6638565,Apus
260.816431,-82.6519089,Apus
261.831894,-82.6399307,Apus
262.845697,-82.6279144,Apus
263.857669,-82.6158676,Apus
264.868155,-82.6037903,Apus
265.877009,-82.5916977,Apus
266.884002,-82.5795898,Apus
267.889537,-82.5674591,Apus
268.893414,-82.5553207,Apus
269.895544,-82.5431747,Apus
270.896187,-82.5310287,Apus
271.895199,-82.5188751,Apus
272.892436,-82.5067368,Apus
273.888244,-82.4945984,Apus
274.882451,-82.4824753,Apus
275.874939,-82.4703598,Apus
276.865998,-82.4582748,Apus
276.242609,-81.4620667,Apus
275.748654,-80.4650726,Apus
275.347481,-79.4675140,Apus
275.015029,-78.4695358,Apus
274.734907,-77.4712372,Apus
274.495497,-76.4726868,Apus
274.288473,-75.4739532,Apus
274.195061,-74.9745178,Apus
274.025316,-73.9755478,Apus
273.875026,-72.9764633,Apus
273.740902,-71.9772797,Apus
273.620452,-70.9780121,Apus
273.511591,-69.9786682,Apus
273.412686,-68.9792709,Apus
273.322364,-67.9798203,Apus
273.280077,-67.4800797,Pavo
272.281094,-67.4922180,Pavo
271.281766,-67.5043640,Pavo
270.281782,-67.5165176,Pavo
269.281282,-67.5286636,Pavo
268.280439,-67.5408020,Pavo
267.278910,-67.5529327,Pavo
266.276865,-67.5650558,Pavo
265.775729,-67.5711060,Ara
264.772911,-67.5831985,Ara
263.769750,-67.5952682,Ara
262.765904,-67.6073151,Ara
261.761541,-67.6193314,Ara
260.756808,-67.6313095,Ara
259.751444,-67.6432495,Ara
258.745537,-67.6551590,Ara
258.242482,-67.6610870,Ara
258.327656,-68.6605911,Triangulum Australe
258.420753,-69.6600418,Triangulum Australe
258.470679,-70.1597443,Triangulum Australe
257.463226,-70.1715927,Triangulum Australe
256.455316,-70.1833878,Triangulum Australe
255.446691,-70.1951294,Triangulum Australe
254.437494,-70.2068176,Triangulum Australe
253.427896,-70.2184448,Triangulum Australe
252.417555,-70.2300034,Triangulum Australe
251.406612,-70.2415009,Triangulum Australe
250.395270,-70.2529221,Triangulum Australe
249.383211,-70.2642746,Triangulum Australe
248.370581,-70.2755432,Triangulum Australe
247.357549,-70.2867279,Triangulum Australe
246.343803,-70.2978363,Triangulum Australe
245.329485,-70.3088455,Triangulum Australe
244.314824,-70.3197708,Triangulum Australe
243.299418,-70.3305969,Triangulum Australe
242.283468,-70.3413162,Triangulum Australe
241.267119,-70.3519440,Triangulum Australe
240.250110,-70.3624573,Triangulum Australe
239.232559,-70.3728638,Triangulum Australe
238.214664,-70.3831635,Triangulum Australe
237.196069,-70.3933411,Triangulum Australe
236.176929,-70.4033966,Triangulum Australe
235.157475,-70.4133301,Triangulum Australe
234.137349,-70.4231415,Triangulum Australe
233.116722,-70.4328232,Triangulum Australe
232.095766,-70.4423676,Triangulum Australe
231.074166,-70.4517822,Triangulum Australe
230.052066,-70.4610596,Triangulum Australe
229.029664,-70.4701920,Triangulum Australe
228.006634,-70.4791794,Triangulum Australe
226.983147,-70.4880219,Triangulum Australe
225.959358,-70.4967117,Triangulum Australe
224.934984,-70.5052490,Triangulum Australe
224.166441,-70.5115433,Circinus
223.141293,-70.5198135,Circinus
222.115875,-70.5279083,Circinus
221.089869,-70.5358505,Circinus
220.063462,-70.5436249,Circinus
219.036813,-70.5512238,Circinus
218.009619,-70.5586624,Circinus
216.982041,-70.5659180,Circinus
215.954232,-70.5730057,Circinus
214.925909,-70.5799103,Circinus
213.897228,-70.5866318,Circinus
212.868361,-70.5931778,Circinus
211.838994,-70.5995331,Circinus
210.809298,-70.6057053,Circinus
209.779429,-70.6116867,Circinus
208.749104,-70.6174774,Circinus
207.718449,-70.6230698,Circinus
207.460871,-70.6244431,Musca
207.511440,-71.6243057,Musca
207.567601,-72.6241608,Musca
207.630401,-73.6239929,Musca
207.701126,-74.6238022,Musca
207.781434,-75.6235962,Musca
309.675007,-7.5634623,Aquila
309.665394,-6.5635080,Aquila
309.655809,-5.5635533,Aquila
309.646282,-4.5635982,Aquila
309.636754,-3.5636432,Aquila
309.627256,-2.5636883,Aquila
309.617787,-1.5637331,Aquila
309.608316,-0.5637780,Aquila
309.598846,0.4361772,Aquila
309.589377,1.4361323,Aquila
309.579877,2.4360874,Aquila
310.580178,2.4454920,Aquarius
311.580506,2.4547608,Aquarius
312.580691,2.4638896,Aquarius
313.581018,2.4728787,Aquarius
314.081097,2.4773185,Aquarius
315.081424,2.4860904,Aquarius
316.081782,2.4947140,Aquarius
317.081996,2.5031860,Aquarius
318.082351,2.5115056,Aquarius
319.082737,2.5196695,Aquarius
320.082951,2.5276737,Aquarius
321.083336,2.5355186,Aquarius
321.583471,2.5393796,Aquarius
322.583884,2.5469787,Aquarius
323.584271,2.5544112,Aquarius
323.578749,3.3043909,Pegasus
324.579134,3.3116543,Aquarius
325.579662,3.3187475,Aquarius
326.580219,3.3256676,Aquarius
326.587086,2.3256910,Aquarius
327.587328,2.3324335,Aquarius
328.587712,2.3389995,Aquarius
329.588127,2.3453860,Aquarius
330.588341,2.3515899,Aquarius
331.588755,2.3576119,Aquarius
331.587267,2.6076074,Pegasus
332.587739,2.6134443,Aquarius
333.588066,2.6190934,Aquarius
334.588537,2.6245549,Aquarius
335.589009,2.6298258,Aquarius
336.589365,2.6349041,Aquarius
337.589865,2.6397896,Aquarius
338.590336,2.6444802,Aquarius
339.590664,2.6489737,Aquarius
340.591192,2.6532702,Aquarius
341.591692,2.6573677,Aquarius
342.592049,2.6612642,Aquarius
342.842217,2.6622071,Aquarius
342.845964,1.6622140,Aquarius
342.849712,0.6622211,Aquarius
