Internal ID Number,ID (for resolver),MAIN_ID,Common Name,TYPE,Constellation,RAJ2000,DEJ2000,V,B-V
SNR_Tau_M1,M 1,M   1,Crab Nebula,SNR,Taurus,83.63308000,22.01450000,,
GlC_Aqr_M2,M 2,M   2,,GlC,Aquarius,323.36258000,-0.82325000,6.25,
GlC_CVn_M3,M 3,M   3,,GlC,Canes Venatici,205.54842000,28.37728000,6.389999866485596,
GlC_Sco_M4,M 4,M   4,,GlC,Scorpius,245.89675000,-26.52575000,,
GlC_Ser_M5,M 5,M   5,,GlC,Serpens,229.63842000,2.08103000,5.949999809265137,1.390000343322754
OpC_Sco_M6,M 6,NGC  6405,Butterfly Cluster,OpC,Scorpius,265.08300000,-32.25300000,,
OpC_Sco_M7,M 7,NGC  6475,Ptolemy Cluster,OpC,Scorpius,268.46300000,-34.79300000,,
HII_Sgr_M8,M 8,M   8,Lagoon Nebula,HII,Sagittarius,270.90400000,-24.38700000,,
GlC_Oph_M9,M 9,M   9,,GlC,Ophiucus,259.79908000,-18.51625000,8.420000076293945,0.9399995803833008
GlC_Oph_M10,M 10,M  10,,GlC,Ophiucus,254.28771000,-4.10031000,4.980000019073486,
OpC_Sct_M11,M 11,NGC  6705,Wild Duck Cluster,OpC,Scutum,282.77100000,-6.27000000,5.800000190734863,0.5199999809265137
GlC_Oph_M12,M 12,M  12,,GlC,Ophiucus,251.80908000,-1.94853000,6.070000171661377,2.450000286102295
GlC_Her_M13,M 13,M  13,Great Globular Cluster in Hercules,GlC,Hercules,250.42347500,36.46131900,5.800000190734863,
GlC_Oph_M14,M 14,M  14,,GlC,Ophiucus,264.40063000,-3.24592000,5.730000019073486,3.820000171661377
GlC_Peg_M15,M 15,M  15,,GlC,Pegasus,322.49304000,12.16700000,,
OpC_Ser_M16,M 16,M  16,Eagle Nebula,OpC,Serpens,274.70000000,-13.80700000,6.0,0.5799999237060547
OpC_Sgr_M17,M 17,NGC  6618,"Omega, Swan, Horseshoe, or Lobster Nebula",OpC,Sagittarius,275.19600000,-16.17200000,,
OpC_Sgr_M18,M 18,M  18,,OpC,Sagittarius,274.99200000,-17.10200000,6.900000095367432,0.3399996757507324
GlC_Oph_M19,M 19,M  19,,GlC,Ophiucus,255.65704000,-26.26794000,5.570000171661377,2.8799996376037598
OpC_Sgr_M20,M 20,M  20,Trifid Nebula,OpC,Sagittarius,270.67500000,-22.97200000,,
OpC_Sgr_M21,M 21,M  21,,OpC,Sagittarius,271.05400000,-22.49000000,,
GlC_Sgr_M22,M 22,M  22,Sagittarius Cluster,GlC,Sagittarius,279.09975000,-23.90475000,6.170000076293945,0.9899997711181641
OpC_Sgr_M23,M 23,M  23,,OpC,Sagittarius,269.26700000,-18.98500000,5.5,0.5300002098083496
As*_Sgr_M24,M 24,M  24,Sagittarius Star Cloud,As*,Sagittarius,274.20000000,-18.55000000,,
OpC_Sgr_M25,M 25,IC 4725,,OpC,Sagittarius,277.94600000,-19.11700000,,
OpC_Sct_M26,M 26,M  26,,OpC,Scutum,281.32500000,-9.38300000,8.869999885559082,-0.869999885559082
PN_Vul_M27,M 27,M  27,Dumbbell Nebula,PN,Vulpecula,299.90151337,22.72119788,14.08899974822998,-0.3400001525878906
GlC_Sgr_M28,M 28,M  28,,GlC,Sagittarius,276.13704000,-24.86983000,,
OpC_Cyg_M29,M 29,M  29,Cooling Tower,OpC,Cygnus,305.98300000,38.52300000,6.599999904632568,0.7000002861022949
GlC_Cap_M30,M 30,M  30,,GlC,Capricornus,325.09217000,-23.17986000,7.099999904632568,
G_And_M31,M 31,M  31,Andromeda Galaxy,G,Andromeda,10.68470800,41.26875000,3.440000057220459,0.9200000762939453
IG_And_M32,M 32,M  32,,IG,Andromeda,10.67427100,40.86516900,8.079999923706055,0.9499998092651367
GiG_Tri_M33,M 33,M  33,Triangulum Galaxy,GiG,Triangulum,23.46210000,30.65994200,5.71999979019165,0.5500001907348633
OpC_Per_M34,M 34,NGC  1039,,OpC,Perseus,40.52100000,42.76200000,,
OpC_Gem_M35,M 35,NGC  2168,,OpC,Gemini,92.22500000,24.33300000,,
OpC_Aur_M36,M 36,M  36,,OpC,Auriga,84.07500000,34.14000000,6.0,0.09000015258789062
OpC_Aur_M37,M 37,M  37,,OpC,Auriga,88.07500000,32.55300000,5.599999904632568,0.5900001525878906
OpC_Aur_M38,M 38,M  38,,OpC,Auriga,82.17900000,35.85500000,6.400000095367432,0.28999996185302734
OpC_Cyg_M39,M 39,NGC  7092,,OpC,Cygnus,322.95000000,48.43300000,,
mul_UMa_M40,M 40,M  40,Winnecke 4,mul,Ursa Major,185.55221000,58.08294000,,
OpC_CMa_M41,M 41,M  41,,OpC,Canis Major,101.50400000,-20.75700000,4.5,0.3899998664855957
HII_Ori_M42,M 42,M  42,Orion Nebula,HII,Orion,83.82210000,-5.39110000,,
HII_Ori_M43,M 43,M  43,De Mairan's Nebula,HII,Orion,83.87900000,-5.27000000,,
OpC_Cnc_M44,M 44,NGC  2632,Beehive Cluster,OpC,Cancer,130.10000000,19.66700000,,
OpC_Tau_M45,M 45,Cl Melotte   22,Pleiades,OpC,Taurus,56.75000000,24.11700000,,
OpC_Pup_M46,M 46,NGC  2437,,OpC,Puppis,115.44200000,-14.81000000,,
OpC_Pup_M47,M 47,NGC  2422,,OpC,Puppis,114.14600000,-14.48300000,,
OpC_Hya_M48,M 48,NGC  2548,,OpC,Hydra,123.42900000,-5.75000000,,
Sy2_Vir_M49,M 49,M  49,,Sy2,Virgo,187.44499200,8.00041100,12.170000076293945,1.0399999618530273
OpC_Mon_M50,M 50,NGC  2323,,OpC,Monoceros,105.69790000,-8.33780000,,
GiP_CVn_M51,M 51,M  51,Whirlpool Galaxy,GiP,Canes Venatici,202.46957500,47.19525800,8.359999656677246,0.9000005722045898
OpC_Cas_M52,M 52,M  52,,OpC,Cassiopeia,351.20000000,61.59300000,,
GlC_Com_M53,M 53,M  53,,GlC,Coma Berenices,198.23021000,18.16817000,7.789999961853027,1.1599998474121094
GlC_Sgr_M54,M 54,M  54,,GlC,Sagittarius,283.76387000,-30.47986000,,
