HD,HIP,Vmag,Fl,Cst,BayerConst
210516,109458,6.45,28,Peg,Peg
210705,109624,6.04,39,Aqr,Aqr
210745,109492,3.39,21,Cep,zet Cep
210807,109400,4.79,24,Cep,Cep
210839,109556,5.05,22,Cep,lam Cep
210853,110078,5.49,,Oct,psi Oct
210934,109789,5.45,16,PsA,lam PsA
210960,109786,5.33,41,Aqr,Aqr
210967,110256,5.09,,Oct,eps Oct
211088,109908,4.79,,Gru,mu.01 Gru
211202,109973,5.11,,Gru,mu.02 Gru
211336,109857,4.18,23,Cep,eps Cep
211361,110000,5.34,42,Aqr,Aqr
211388,109937,4.14,1,Lac,Lac
211391,110003,4.17,43,Aqr,the Aqr
211416,110130,2.87,,Tuc,alf Tuc
211434,110023,5.75,44,Aqr,Aqr
211539,111196,5.76,,Oct,ups Oct
211676,110179,5.96,45,Aqr,Aqr
211833,110103,5.75,25,Cep,Cep
211838,110273,5.35,46,Aqr,rho Aqr
211924,110298,5.37,30,Peg,Peg
211998,110618,5.28,,Ind,nu. Ind
212010,110391,5.12,47,Aqr,Aqr
212061,110395,3.86,48,Aqr,gam Aqr
212076,110386,4.82,31,Peg,Peg
212087,110478,6.42,,Gru,pi.01 Gru
212097,110371,4.78,32,Peg,Peg
212120,110351,4.55,2,Lac,Lac
212132,110506,5.62,,Gru,pi.02 Gru
212271,110529,5.53,49,Aqr,Aqr
212395,110548,6.20,33,Peg,Peg
212404,110578,5.79,51,Aqr,Aqr
212430,110602,5.76,50,Aqr,Aqr
212466,110504,6.44,,Cep,RW Cep
212496,110538,4.42,3,Lac,bet Lac
212571,110672,4.80,52,Aqr,pi. Aqr
212581,110838,4.51,,Tuc,del Tuc
212593,110609,4.55,4,Lac,Lac
212697,110778,6.57,53,Aqr,f Aqr
212698,0,6.35,53,Aqr,f Aqr
212754,110785,5.76,34,Peg,Peg
212943,110882,4.78,35,Peg,Peg
212953,110936,5.47,,Gru,nu. Gru
213009,110997,3.97,,Gru,del01 Gru
213051,110960,3.65,55,Aqr,zet01 Aqr
213052,0,4.42,55,Aqr,zet02 Aqr
213080,111043,4.12,,Gru,del02 Gru
