HD,HIP,Vmag,Fl,Cst,BayerConst
9100,6981,6.01,97,Psc,Psc
9132,6960,5.11,48,Cet,Cet
9138,7007,4.84,98,Psc,mu. Psc
9270,7097,3.62,99,Psc,eta Psc
9362,7083,3.93,,Phe,del Phe
9408,7294,4.68,39,Cas,chi Cas
9656,7364,7.05,100,Psc,Psc
9672,7345,5.62,49,Cet,Cet
9766,7436,6.23,101,Psc,Psc
9774,7650,5.28,40,Cas,Cas
9826,7513,4.10,50,And,ups And
9856,7450,5.41,50,Cet,Cet
9906,7463,5.69,,Scl,tau Scl
9919,7535,5.54,102,Psc,pi. Psc
9927,7607,3.59,51,And,And
10072,7719,5.01,52,And,chi And
10135,7710,6.74,104,Psc,Psc
10144,7588,0.45,,Eri,alf Eri
10164,7740,5.98,105,Psc,Psc
10205,7818,4.96,53,And,tau And
10221,7965,5.57,43,Cas,Cas
10250,8016,5.18,42,Cas,Cas
10360,7751,5.76,,Eri,p Eri
10361,0,5.76,,Eri,p Eri
10380,7884,4.45,106,Psc,nu. Psc
10425,8046,5.78,44,Cas,Cas
10476,7981,5.24,107,Psc,Psc
10516,8068,4.01,,Per,phi Per
10537,7955,5.25,,Scl,pi. Scl
10647,7978,5.52,,Eri,q01 Eri
10697,8159,6.27,109,Psc,Psc
10700,8102,3.49,52,Cet,tau Cet
10761,8198,4.26,110,Psc,omi Psc
10830,8209,5.29,,Scl,eps Scl
10845,8271,6.55,3,Ari,Ari
10859,7879,6.33,,Hyi,tau01 Hyi
10934,8240,5.49,120,Phe,Phe
10939,8241,5.04,,Eri,q02 Eri
10982,8387,5.86,4,Ari,Ari
11154,8544,5.83,1,Ari,Ari
11155,0,5.90,1,Ari,Ari
11171,8497,4.66,53,Cet,chi Cet
11241,8704,5.53,1,Per,Per
11257,8588,5.92,54,Cet,Cet
11291,8714,5.70,2,Per,Per
11353,8645,3.74,55,Cet,zet Cet
11415,8886,3.35,45,Cas,eps Cas
11428,8814,5.42,55,And,And
11443,8796,3.42,2,Tri,alf Tri
11502,8832,3.88,5,Ari,gam01 Ari
11503,0,4.83,5,Ari,gam02 Ari
11529,9009,4.97,46,Cas,ome Cas
11559,8833,4.61,111,Psc,ksi Psc
11604,8366,6.05,,Hyi,tau02 Hyi
11636,8903,2.64,6,Ari,bet Ari
11695,8837,4.39,,Phe,psi Phe
11733,8751,6.77,,Hyi,eta01 Hyi
11749,9021,5.69,56,And,And
11753,8882,5.12,,Phe,phi Phe
11763,8993,5.76,7,Ari,Ari
11909,9110,5.09,8,Ari,iot Ari
11930,9061,4.92,56,Cet,Cet
11937,9007,3.69,,Eri,chi Eri
11949,9222,5.70,3,Per,Per
11973,9153,4.79,9,Ari,lam Ari
11977,8928,4.68,,Hyi,eta02 Hyi
12020,9165,6.52,58,Cet,Cet
12021,9155,8.83,58,Cet,Cet
12111,9480,4.49,48,Cas,A Cas
12211,9383,9.10,,Tri,chi Tri
12216,9598,3.95,50,Cas,Cas
12230,9727,5.27,47,Cas,Cas
12235,9353,5.89,112,Psc,Psc
12255,9326,5.43,57,Cet,Cet
12274,9347,3.99,59,Cet,ups Cet
12279,9564,6.00,52,Cas,Cas
12301,9573,5.59,53,Cas,Cas
12303,9505,4.99,4,Per,g Per
12311,9236,2.86,,Hyi,alf Hyi
12339,9763,5.22,49,Cas,Cas
12363,8991,6.15,,Hyi,sig Hyi
12438,9440,5.34,,For,pi. For
12446,9487,3.82,113,Psc,alf Psc
12447,0,4.33,113,Psc,alf Psc
12471,9570,5.50,3,Tri,eps Tri
12524,9459,5.15,,Phe,chi Phe
12533,9640,2.10,57,And,gam01 And
12534,0,4.84,57,And,gam02 And
12558,9621,5.64,10,Ari,Ari
12573,9589,5.42,60,Cet,Cet
12641,9631,5.96,61,Cet,Cet
12767,9677,4.68,,For,nu. For
12800,10031,6.57,54,Cas,Cas
12869,9836,5.03,12,Ari,kap Ari
12885,9859,6.01,11,Ari,Ari
12929,9884,2.01,13,Ari,alf Ari
13041,9977,4.78,58,And,And
13161,10064,3.00,4,Tri,bet Tri
13174,10053,4.98,14,Ari,Ari
13267,10227,6.38,5,Per,Per
13294,10176,6.09,59,And,And
13295,10180,6.82,59,And,And
13325,10155,5.68,15,Ari,Ari
13363,10203,6.01,16,Ari,Ari
13372,10220,6.24,5,Tri,Tri
13421,10212,5.64,64,Cet,Cet
13468,10234,5.94,63,Cet,Cet
13474,10438,6.05,55,Cas,Cas
13480,10280,4.94,6,Tri,Tri
13520,10340,4.84,60,And,b And
13530,10366,5.31,6,Per,Per
13555,10306,5.23,17,Ari,eta Ari
13596,10328,5.72,19,Ari,Ari
13611,10324,4.36,65,Cet,ksi01 Cet
13612,10305,5.65,66,Cet,Cet
13709,10320,5.27,,For,mu. For
13869,10559,5.25,7,Tri,Tri
13871,10540,5.79,20,Ari,Ari
13872,10535,5.57,21,Ari,Ari
13974,10644,4.84,8,Tri,del Tri
13982,10718,5.75,8,Per,Per
13994,10729,5.99,7,Per,chi Per
14055,10670,4.03,9,Tri,gam Tri
14129,10642,5.51,67,Cet,Cet
14141,10418,5.57,,Hyi,pi.01 Hyi
14191,10732,5.58,22,Ari,the Ari
14212,10819,5.31,62,And,c And
14228,10602,3.56,,Eri,phi Eri
14252,10793,5.29,10,Tri,Tri
14287,10513,5.67,,Hyi,pi.02 Hyi
14386,10826,6.47,68,Cet,omi Cet
14392,10944,5.57,63,And,And
14489,11060,5.16,9,Per,i Per
14652,11021,5.29,69,Cet,Cet
14690,11046,5.42,70,Cet,Cet
14770,11220,5.19,64,And,And
14802,11072,5.19,,For,kap For
14818,11279,6.25,10,Per,Per
14872,11313,4.73,65,And,And
14951,11249,5.48,24,Ari,ksi Ari
15004,11261,6.34,71,Cet,Cet
15008,11001,4.08,,Hyi,del Hyi
15089,11569,4.46,,Cas,iot Cas
15130,11345,4.88,72,Cet,rho Cet
15138,11465,6.16,66,And,And
15176,11432,5.55,11,Tri,Tri
15228,11427,6.45,25,Ari,Ari
15233,11258,5.36,,Hor,lam Hor
15248,11095,5.99,,Hyi,kap Hyi
15257,11486,5.29,12,Tri,Tri
15318,11484,4.30,73,Cet,ksi02 Cet
15335,11548,5.89,13,Tri,Tri
15371,11407,4.24,,Eri,kap Eri
15427,11477,5.13,,For,phi For
15550,11678,6.14,26,Ari,Ari
15596,11698,6.21,27,Ari,Ari
15656,11784,5.15,14,Tri,Tri
15779,11791,5.36,75,Cet,Cet
15798,11783,4.74,76,Cet,sig Cet
15814,11843,6.00,29,Ari,Ari
15975,11867,5.91,,For,lam01 For
16046,11918,4.96,,For,ome For
16058,12086,5.38,15,Tri,Tri
16074,12002,5.74,77,Cet,Cet
16141,12048,6.83,79,Cet,Cet
16161,12093,4.87,78,Cet,nu. Cet
16212,12107,5.53,80,Cet,Cet
16232,12184,6.68,30,Ari,Ari
16234,12153,5.64,31,Ari,Ari
16246,12189,6.48,30,Ari,Ari
16307,12122,5.74,,For,iot01 For
16400,12247,5.65,81,Cet,Cet
16417,12186,5.78,,For,lam02 For
16432,12332,5.45,32,Ari,nu. Ari
16522,11757,5.27,,Hyi,mu. Hyi
16538,12288,5.84,,For,iot02 For
16555,12225,5.30,,Hor,eta Hor
16582,12387,4.08,82,Cet,del Cet
16620,12390,4.83,83,Cet,eps Cet
16628,12489,5.30,33,Ari,Ari
16727,12692,5.76,11,Per,Per
16739,12623,4.91,12,Per,Per
16754,12413,4.74,,Eri,s Eri
16765,12530,5.72,84,Cet,Cet
16811,12640,5.74,34,Ari,mu. Ari
16815,12486,4.11,,Eri,iot Eri
16861,12647,6.32,85,Cet,Cet
16895,12777,4.10,13,Per,the Per
16901,12768,5.43,14,Per,Per
16908,12719,4.65,35,Ari,Ari
16920,12484,5.21,,Hor,zet Hor
16970,12706,3.47,86,Cet,gam Cet
16978,12394,4.12,,Hyi,eps Hyi
17017,12784,6.40,36,Ari,Ari
17036,12803,5.78,37,Ari,omi Ari
17051,12653,5.40,,Hor,iot Hor
17081,12770,4.24,89,Cet,pi. Cet
17093,12832,5.17,38,Ari,Ari
17094,12828,4.27,87,Cet,mu. Cet
17138,13133,6.26,,Cas,RZ Cas
17206,12843,4.47,1,Eri,tau01 Eri
17361,13061,4.52,39,Ari,Ari
17459,13108,5.83,40,Ari,Ari
17463,13367,5.94,,Cas,SU Cas
17504,12871,5.73,,Hor,gam Hor
17506,13268,3.77,15,Per,eta Per
17528,13040,6.51,,For,eta01 For
17543,13165,5.26,42,Ari,pi. Ari
17566,12876,4.83,,Hyi,zet Hyi
17573,13209,3.61,41,Ari,c Ari
17584,13254,4.22,16,Per,Per
17652,13147,4.45,,For,bet For
17709,13328,4.56,17,Per,Per
17713,13197,6.14,,For,gam01 For
17729,13202,5.39,,For,gam02 For
17769,13327,5.52,43,Ari,sig Ari
17793,13225,5.92,,For,eta02 For
17824,13288,4.76,2,Eri,tau02 Eri
17829,13265,5.48,,For,eta03 For
17848,13141,5.25,,Hor,nu. Hor
17878,13531,3.93,18,Per,tau Per
17879,13531,4.00,18,Per,tau Per
17904,13490,5.34,20,Per,Per
18091,13579,7.10,44,Ari,rho01 Ari
18149,13473,5.93,,For,psi For
18191,13654,5.76,45,Ari,Ari
18256,13702,5.58,46,Ari,rho Ari
18293,13244,4.76,,Hyi,nu. Hyi
18296,13775,5.10,21,Per,Per
18322,13701,3.89,3,Eri,eta Eri
18404,13834,5.80,47,Ari,Ari
18411,13879,4.68,22,Per,pi. Per
18449,13905,4.94,24,Per,Per
18454,13782,5.44,4,Eri,Eri
18519,13914,4.63,48,Ari,eps Ari
18520,0,4.63,48,Ari,eps Ari
18535,13835,5.82,6,Eri,Eri
18604,13954,4.71,91,Cet,lam Cet
18622,13847,2.88,,Eri,the01 Eri
18623,0,4.35,,Eri,the02 Eri
18633,13951,5.56,5,Eri,Eri
18692,13942,5.69,,For,zet For
18760,14040,6.11,7,Eri,Eri
18769,14109,5.91,49,Ari,Ari
18784,14060,5.75,8,Eri,rho01 Eri
18803,14150,6.62,51,Ari,Ari
18866,13884,4.98,,Hor,bet Hor
18883,14143,5.62,93,Cet,Cet
18884,14135,2.54,92,Cet,alf Cet
18907,14086,5.88,,For,eps For
18925,14328,2.91,23,Per,gam Per
18926,14328,3.00,23,Per,gam Per
18953,14168,5.32,9,Eri,rho02 Eri
18970,14382,4.77,,Per,k Per
18978,14146,4.08,11,Eri,tau03 Eri
19058,14354,3.32,25,Per,rho Per
19107,14293,5.26,10,Eri,rho03 Eri
19134,14376,5.45,52,Ari,Ari
19135,0,7.00,52,Ari,Ari
19319,14240,5.12,,Hor,mu. Hor
19356,14576,2.09,26,Per,bet Per
19373,14632,4.05,,Per,iot Per
19374,14514,6.13,53,Ari,Ari
19400,14131,5.51,,Hyi,the Hyi
19460,14586,6.24,54,Ari,Ari
19476,14668,3.79,27,Per,kap Per
19548,14677,5.74,55,Ari,Ari
19656,14817,4.61,28,Per,ome Per
19787,14838,4.35,57,Ari,del Ari
19832,14893,5.78,56,Ari,Ari
19926,14915,5.55,,Tau,g Tau
19994,14954,5.07,94,Cet,Cet
20010,14879,3.80,,For,alf For
20150,15110,4.87,58,Ari,zet Ari
20315,15338,5.49,30,Per,Per
20320,15197,4.80,13,Eri,zet Eri
20365,15404,5.16,29,Per,Per
20395,15244,6.14,14,Eri,Eri
20418,15444,5.05,31,Per,Per
20559,15383,5.62,95,Cet,Cet
20610,15382,4.86,15,Eri,Eri
20618,15514,5.91,59,Ari,Ari
20630,15457,4.84,96,Cet,kap Cet
20663,15557,6.14,60,Ari,Ari
20677,15648,4.96,32,Per,l Per
20720,15474,3.70,16,Eri,tau04 Eri
20756,15627,5.27,61,Ari,tau Ari
20766,15330,5.53,,Ret,zet01 Ret
20791,15619,5.70,97,Cet,Cet
20794,15510,4.26,82,Eri,e Eri
20807,15371,5.24,,Ret,zet02 Ret
20825,15696,5.55,62,Ari,Ari
20893,15737,5.10,63,Ari,Ari
20902,15863,1.79,33,Per,alf Per
21017,15861,5.50,64,Ari,Ari
21024,15201,5.51,,Hyi,iot Hyi
21050,15870,6.07,65,Ari,Ari
21120,15900,3.61,1,Tau,omi Tau
21364,16083,3.73,2,Tau,ksi Tau
21423,15987,6.39,,For,chi01 For
21428,16244,4.67,34,Per,Per
21467,16181,6.03,66,Ari,Ari
21552,16335,4.36,35,Per,sig Per
21574,16112,5.71,,For,chi02 For
21635,16156,6.49,,For,chi03 For
21686,16322,5.14,4,Tau,s Tau
21754,16369,4.14,5,Tau,f Tau
21770,16499,5.30,36,Per,Per
21790,16341,4.74,17,Eri,v Eri
21933,16511,5.76,6,Tau,t Tau
22001,16245,4.71,,Ret,kap Ret
22049,16537,3.72,18,Eri,eps Eri
22091,16664,5.95,7,Tau,Tau
22192,16826,4.32,37,Per,psi Per
22203,16611,4.26,19,Eri,tau05 Eri
22374,16859,6.72,9,Tau,Tau
22470,16803,5.24,20,Eri,Eri
22484,16852,4.29,10,Tau,Tau
22663,16870,4.57,,Eri,y Eri
22713,17027,5.97,21,Eri,Eri
22789,17007,6.01,,For,tau For
22796,17103,5.55,12,Tau,Tau
22805,17181,6.11,11,Tau,Tau
22920,17167,5.53,22,Eri,Eri
22928,17358,3.01,39,Per,del Per
22951,17313,4.97,40,Per,o Per
23016,17309,5.68,13,Tau,Tau
23180,17448,3.84,38,Per,omi Per
23183,17408,6.13,14,Tau,Tau
23227,17304,4.99,,For,del For
23230,17529,3.77,41,Per,nu. Per
23249,17378,3.52,23,Eri,del Eri
23288,17489,5.45,16,Tau,Tau
23302,17499,3.72,17,Tau,Tau
23319,17351,4.59,,Eri,h Eri
23324,17527,5.66,18,Tau,Tau
23338,17531,4.30,19,Tau,q Tau
23363,17457,5.24,24,Eri,Eri
23401,17959,4.59,,Cam,gam Cam
23408,17573,3.87,20,Tau,Tau
23413,17506,5.56,25,Eri,Eri
23432,17579,5.76,21,Tau,Tau
23441,17588,6.43,22,Tau,Tau
23466,17563,5.34,29,Tau,u Tau
23480,17608,4.14,23,Tau,Tau
23607,0,8.30,,Tau,eta Tau
23614,17593,4.43,26,Eri,pi. Eri
23629,0,6.30,24,Tau,Tau
23630,17702,2.85,25,Tau,eta Tau
23738,17618,5.91,,For,sig For
23754,17651,4.22,27,Eri,tau06 Eri
23793,17771,5.08,30,Tau,e Tau
23817,17440,3.84,,Ret,bet Ret
23822,17832,6.47,26,Tau,Tau
23848,17886,5.14,42,Per,n Per
23850,17847,3.62,27,Tau,Tau
23862,17851,5.05,28,Tau,Tau
23878,17717,5.24,28,Eri,tau07 Eri
23940,17738,5.52,,For,rho For
24071,17797,4.30,,Eri,f Eri
24072,0,4.73,,Eri,f Eri
24160,17874,4.17,,Eri,g Eri
24263,18089,5.66,31,Tau,Tau
24388,18141,5.48,30,Eri,Eri
24398,18246,2.84,44,Per,zet Per
24512,17678,3.26,,Hyi,gam Hyi
24534,18350,6.79,,Per,X Per
24546,18453,5.28,43,Per,A Per
24554,18255,6.14,32,Eri,w Eri
24555,0,4.79,32,Eri,w Eri
24587,18216,4.64,33,Eri,tau08 Eri
24626,18213,5.11,,Eri,i Eri
24740,18471,5.62,32,Tau,Tau
24760,18532,2.90,45,Per,eps Per
24769,18485,6.05,33,Tau,Tau
24912,18614,3.98,46,Per,ksi Per
25025,18543,2.97,34,Eri,gam Eri
25204,18724,3.41,35,Tau,lam Tau
25267,18673,4.62,36,Eri,tau09 Eri
25340,18788,5.28,35,Eri,Eri
25422,18597,4.56,,Ret,del Ret
25490,18907,3.91,38,Tau,nu. Tau
25555,19009,5.46,36,Tau,Tau
25558,18957,5.32,40,Tau,Tau
25604,19038,4.36,37,Tau,A01 Tau
25642,19167,4.25,47,Per,lam Per
25680,19076,5.90,39,Tau,A02 Tau
25705,18744,4.48,,Ret,gam Ret
25728,18772,4.97,,Ret,iot Ret
25823,19171,5.18,41,Tau,Tau
25867,19205,5.21,42,Tau,psi Tau
25940,19343,3.96,48,Per,c Per
25975,19302,6.07,49,Per,Per
25998,19335,5.52,50,Per,Per
26162,19388,5.51,43,Tau,Tau
26322,19513,5.39,44,Tau,p Tau
26409,19483,5.44,37,Eri,Eri
26462,19554,5.71,45,Tau,Tau
26574,19587,4.04,38,Eri,omi01 Eri
26612,19515,4.93,,Hor,del Hor
26630,19812,4.12,51,Per,mu. Per
26673,19811,4.67,52,Per,f Per
26690,19719,5.29,46,Tau,Tau
26722,19740,4.84,47,Tau,Tau
26846,19777,4.87,39,Eri,A Eri
26911,19877,6.31,48,Tau,Tau
26912,19860,4.27,49,Tau,mu. Tau
26961,20070,4.60,,Per,b Per
26965,19849,4.43,40,Eri,omi02 Eri
26967,19747,3.85,,Hor,alf Hor
26976,0,9.50,40,Eri,omi02 Eri
27045,19990,4.93,50,Tau,ome Tau
27176,20087,5.64,51,Tau,Tau
27192,20234,5.55,,Per,b02 Per
27256,19780,3.33,,Ret,alf Ret
27290,19893,4.26,,Dor,gam Dor
27295,20171,5.50,53,Tau,Tau
27309,20186,5.34,56,Tau,Tau
27348,20252,4.93,54,Per,Per
27371,20205,3.65,54,Tau,gam Tau
27376,20042,3.55,41,Eri,ups04 Eri
27382,20250,4.97,52,Tau,phi Tau
27383,20215,6.85,55,Tau,Tau
27396,20354,4.80,53,Per,d Per
27397,20219,5.58,57,Tau,h Tau
27442,19921,4.44,,Ret,eps Ret
27459,20261,5.26,58,Tau,Tau
27563,20271,5.85,,Eri,d Eri
27628,20400,5.72,60,Tau,Tau
27638,20430,5.38,59,Tau,chi Tau
27657,20020,5.88,,Ret,the Ret
27697,20455,3.77,61,Tau,del Tau
27749,20484,5.64,63,Tau,Tau
27777,20579,5.73,55,Per,Per
27778,20533,6.34,62,Tau,Tau
27786,20591,5.77,56,Per,Per
27819,20542,4.80,64,Tau,Tau
27820,20522,5.10,66,Tau,r Tau
27861,20507,5.17,42,Eri,ksi Eri
27934,20635,4.21,65,Tau,kap Tau
27946,20641,5.27,67,Tau,Tau
27962,20648,4.30,68,Tau,Tau
27991,20661,6.44,70,Tau,Tau
28024,20711,4.28,69,Tau,ups Tau
28028,20535,3.97,43,Eri,d Eri
28052,20713,4.48,71,Tau,Tau
28093,20384,5.24,,Ret,eta Ret
28100,20732,4.69,73,Tau,pi. Tau
28149,20789,5.53,72,Tau,Tau
28292,20877,4.96,75,Tau,Tau
28294,20873,5.90,76,Tau,Tau
28305,20889,3.53,74,Tau,eps Tau
28307,20885,3.84,77,Tau,the01 Tau
28319,20894,3.40,78,Tau,the02 Tau
28355,20901,5.02,79,Tau,b Tau
28375,20884,5.53,44,Eri,Eri
28446,21148,5.78,1,Cam,Cam
28485,20995,5.58,80,Tau,Tau
28525,20049,5.67,,Men,del Men
28546,21039,5.47,81,Tau,Tau
28556,21036,5.40,83,Tau,Tau
28595,21082,6.28,84,Tau,Tau
28677,21137,6.01,85,Tau,Tau
28704,21242,6.09,57,Per,m Per
28749,21139,4.91,45,Eri,Eri
28873,21060,5.07,,Cae,del Cae
28910,21273,4.65,86,Tau,rho Tau
29009,21278,5.71,46,Eri,Eri
29064,21296,5.20,47,Eri,Eri
29085,21248,4.49,50,Eri,ups01 Eri
29094,21476,4.25,58,Per,e Per
29116,20297,5.78,,Men,nu. Men
29139,21421,0.87,87,Tau,alf Tau
29140,21402,4.25,88,Tau,d Tau
29248,21444,3.93,48,Eri,nu. Eri
29291,21393,3.81,52,Eri,ups02 Eri
29305,21281,3.30,,Dor,alf Dor
29316,21730,5.36,2,Cam,Cam
29317,21727,5.07,3,Cam,Cam
29335,21515,5.32,49,Eri,Eri
29375,21588,5.78,89,Tau,Tau
29388,21589,4.27,90,Tau,c01 Tau
29391,21547,5.22,51,Eri,c Eri
29479,21673,5.08,91,Tau,sig01 Tau
29488,21683,4.67,92,Tau,sig02 Tau
29503,21594,3.86,53,Eri,l Eri
29589,21735,5.45,93,Tau,Tau
29712,21479,5.59,,Dor,R Dor
29722,21928,5.30,59,Per,Per
29755,21763,4.32,54,Eri,Eri
29763,21881,4.27,94,Tau,tau Tau
29859,21961,6.18,95,Tau,Tau
29875,21770,4.44,,Cae,alf Cae
29992,21861,5.04,,Cae,bet Cae
30020,21986,5.98,55,Eri,Eri
30021,0,6.70,55,Eri,Eri
30076,22024,5.78,56,Eri,Eri
30121,22287,5.29,4,Cam,Cam
30185,21914,5.30,,Pic,lam Pic
30202,21998,6.24,,Cae,lam Cae
30211,22109,4.01,57,Eri,mu. Eri
30478,22040,5.28,,Dor,kap Dor
30495,22263,5.49,58,Eri,Eri
30504,22453,4.89,1,Aur,Aur
30605,22441,6.09,96,Tau,Tau
30606,22325,5.76,59,Eri,Eri
30608,22280,6.35,,Cae,zet Cae
30612,21949,5.53,,Men,mu. Men
30614,22783,4.26,9,Cam,alf Cam
30652,22449,3.19,1,Ori,pi.03 Ori
30739,22509,4.35,2,Ori,pi.02 Ori
30780,22565,5.08,97,Tau,i Tau
30814,22479,5.03,60,Eri,Eri
30834,22678,4.79,2,Aur,Aur
30836,22549,3.68,3,Ori,pi.04 Ori
30958,22854,5.52,5,Cam,Cam
30959,22667,4.71,4,Ori,omi01 Ori
30985,22488,6.06,,Cae,nu. Cae
31109,22701,4.36,61,Eri,ome Eri
31139,22730,5.33,5,Ori,Ori
31203,22531,5.58,,Pic,iot Pic
31204,22534,6.42,,Pic,iot Pic
31237,22797,3.71,8,Ori,pi.05 Ori
31278,23040,4.43,7,Cam,Cam
31283,22833,5.18,6,Ori,g Ori
31295,22845,4.64,7,Ori,pi.01 Ori
31398,23015,2.69,3,Aur,iot Aur
31421,22957,4.06,9,Ori,omi02 Ori
31444,22881,5.71,,Eri,R Eri
31512,22958,5.50,62,Eri,b Eri
31553,23068,5.79,99,Tau,Tau
31579,23216,6.09,8,Cam,Cam
31592,23088,5.79,98,Tau,k Tau
31647,23179,4.93,4,Aur,Aur
31761,23261,5.95,5,Aur,Aur
31767,23123,4.47,10,Ori,pi.06 Ori
31780,23268,6.46,6,Aur,Aur
31845,23214,6.75,101,Tau,Tau
31910,23522,4.03,10,Cam,bet Cam
31964,23416,3.03,7,Aur,eps Aur
31996,23203,7.71,,Lep,R Lep
32008,23221,5.39,63,Eri,Eri
32045,23231,4.78,64,Eri,S Eri
32068,23453,3.69,8,Aur,zet Aur
32249,23364,4.80,65,Eri,psi Eri
32301,23497,4.62,102,Tau,iot Tau
32343,23734,5.22,11,Cam,Cam
32357,23743,6.08,12,Cam,Cam
32440,22871,5.47,,Men,eta Men
32503,23474,5.74,1,Lep,Lep
32537,23783,4.98,9,Aur,Aur
32549,23607,4.65,11,Ori,Ori
32630,23767,3.18,10,Aur,eta Aur
32736,23680,6.10,,Ori,W Ori
32743,23482,5.37,,Pic,eta01 Pic
32831,23595,4.55,,Cae,gam Cae
32846,23596,6.32,,Cae,gam Cae
32887,23685,3.19,2,Lep,eps Lep
32923,23835,4.91,104,Tau,m Tau
32964,23794,5.12,66,Eri,Eri
32977,23871,5.28,106,Tau,l Tau
32990,23900,5.50,103,Tau,Tau
32991,23883,5.84,105,Tau,Tau
33021,23852,6.15,13,Ori,Ori
33042,23649,5.05,,Pic,eta02 Pic
33054,23879,5.33,14,Ori,i Ori
33111,23875,2.78,67,Eri,bet Eri
33254,23983,5.43,16,Ori,h Ori
33256,23941,5.11,68,Eri,Eri
33262,23693,4.71,,Dor,zet Dor
33276,24010,4.81,15,Ori,Ori
33285,23467,5.30,,Men,bet Men
33296,24348,6.49,14,Cam,Cam
33328,23972,4.25,69,Eri,lam Eri
33641,24340,4.82,11,Aur,mu. Aur
33802,24244,4.45,3,Lep,iot Lep
33856,24331,4.46,17,Ori,rho Ori
33904,24305,3.29,5,Lep,mu. Lep
33949,24327,4.36,4,Lep,kap Lep
33959,24504,5.01,14,Aur,Aur
33988,0,6.90,12,Aur,Aur
34029,24608,0.08,13,Aur,alf Aur
34053,24512,6.26,108,Tau,Tau
34078,24575,5.99,,Aur,AE Aur
34085,24436,0.18,19,Ori,bet Ori
34172,23148,5.84,,Men,ksi Men
34203,24555,5.52,18,Ori,Ori
34233,24836,6.13,15,Cam,Cam
34334,24727,4.54,16,Aur,Aur
34364,24740,6.15,17,Aur,AR Aur
34411,24813,4.69,15,Aur,lam Aur
34499,24832,6.49,18,Aur,Aur
34503,24674,3.59,20,Ori,tau Ori
34559,24822,4.96,109,Tau,n Tau
34578,24879,5.05,19,Aur,Aur
34642,24659,4.81,,Col,omi Col
34649,24372,4.81,,Dor,the Dor
34658,24817,5.34,21,Ori,Ori
34759,25048,5.22,20,Aur,rho Aur
34787,25197,5.24,16,Cam,Cam
34816,24845,4.29,6,Lep,lam Lep
34863,24873,5.29,7,Lep,nu. Lep
35039,25044,4.72,22,Ori,o Ori
35072,24829,5.44,,Pic,zet Pic
35076,25192,6.45,22,Aur,Aur
35148,25145,7.12,23,Ori,m Ori
35149,25142,4.99,23,Ori,m Ori
35186,25292,5.02,21,Aur,sig Aur
35189,25216,6.09,110,Tau,Tau
35296,25278,5.00,111,Tau,Tau
35337,25202,5.25,8,Lep,Lep
35369,25247,4.13,29,Ori,e Ori
35410,25282,5.07,27,Ori,p Ori
35411,25281,3.35,28,Ori,eta Ori
35439,25302,4.89,25,Ori,Ori
35468,25336,1.64,24,Ori,gam Ori
35497,25428,1.65,112,Tau,bet Tau
35532,25410,6.23,113,Tau,Tau
35580,25098,6.10,,Pic,kap Pic
35583,25769,5.43,17,Cam,Cam
35620,25541,5.08,24,Aur,phi Aur
35671,25499,5.40,115,Tau,Tau
35708,25539,4.88,114,Tau,o Tau
35715,25473,4.59,30,Ori,psi Ori
35770,25555,5.52,116,Tau,Tau
35802,25583,5.77,117,Tau,Tau
35860,25303,6.26,,Pic,the Pic
35943,25695,5.47,118,Tau,Tau
36066,25973,6.44,18,Cam,Cam
36079,25606,2.81,9,Lep,bet Lep
36167,25737,4.71,31,Ori,Ori
36189,25429,5.14,,Dor,lam Dor
36217,25785,6.21,,Ori,CK Ori
36267,25813,4.20,32,Ori,A Ori
36351,25861,5.46,33,Ori,n01 Ori
36371,25984,4.71,25,Aur,chi Aur
36389,25945,4.32,119,Tau,CE Tau
36473,25853,5.53,10,Lep,Lep
36485,0,6.85,34,Ori,del Ori
36486,25930,2.25,34,Ori,del Ori
36512,25923,4.62,36,Ori,ups Ori
36570,26408,6.15,19,Cam,Cam
36576,26064,5.67,120,Tau,Tau
36597,25859,3.86,,Col,eps Col
36653,26093,5.60,35,Ori,Ori
36673,25985,2.58,11,Lep,alf Lep
36695,26063,5.36,,Ori,VV Ori
36777,26126,5.32,38,Ori,n02 Ori
36819,26248,5.37,121,Tau,Tau
36822,26176,4.39,37,Ori,phi01 Ori
36861,26207,3.39,39,Ori,lam Ori
36862,0,5.61,39,Ori,lam Ori
37018,26237,4.58,42,Ori,c Ori
37020,26220,4.98,41,Ori,the01 Ori
37021,0,7.96,41,Ori,the01 Ori
37022,26221,5.13,41,Ori,the01 Ori
37023,26224,6.71,41,Ori,the01 Ori
37041,26235,4.98,43,Ori,the02 Ori
37043,26241,2.75,44,Ori,iot Ori
37070,26587,7.17,22,Cam,Cam
37077,26268,5.24,45,Ori,Ori
37128,26311,1.69,46,Ori,eps Ori
37147,26382,5.53,122,Tau,Tau
37160,26366,4.09,40,Ori,phi02 Ori
37202,26451,2.97,123,Tau,zet Tau
37269,26536,5.40,26,Aur,Aur
37297,26001,5.34,28,Dor,Dor
37350,26069,3.76,,Dor,bet Dor
37430,26412,6.15,,Col,nu.01 Col
37438,26640,5.18,125,Tau,Tau
37468,26549,3.77,48,Ori,sig Ori
37479,0,6.65,48,Ori,sig Ori
37490,26594,4.50,47,Ori,ome Ori
37495,26460,5.28,,Col,nu.02 Col
37507,26563,4.77,49,Ori,d Ori
37601,26942,6.05,24,Cam,Cam
