,id,ra,dec
0,Spica,201.2982352761,-11.1613207855
1,Vindemiatrix,195.5441554838,10.9591529109
2,Diadem,197.49812263,17.52911621
3,36 Com,194.7309972955,17.4094504944
4,35 Com,193.3238793908,21.2449429177
